order_date,region,segment,shipping_mode,category,product_name,quantity,discount,sales,profit,anomaly,sales_per_quantity
2025-02-13,West,Home Office,First Class,Electronics,Smartphone,7,0.11,35300.49,7363.14,0,5042.927142857143
2026-04-21,North,Home Office,Same Day,Office Supplies,Printer,7,0.07,3747.67,648.12,0,535.3814285714286
2024-09-05,East,Corporate,Standard Class,Office Supplies,Printer,2,0.12,732.09,109.39,0,366.045
2025-02-20,South,Home Office,Second Class,Office Supplies,Storage Box,3,0.14,903.89,127.63,0,301.2966666666667
2026-04-21,North,Corporate,Standard Class,Electronics,Smartphone,2,0.19,11639.8,1529.21,0,5819.9
2025-05-25,South,Corporate,Standard Class,Electronics,Monitor,2,0.22,9722.17,2210.6,0,4861.085
2023-11-28,North,Corporate,First Class,Electronics,Tablet,2,0.02,20047.61,4098.36,0,10023.805
2025-05-18,North,Home Office,Standard Class,Furniture,Table,8,0.01,18829.2,3591.06,0,2353.65
2024-05-23,West,Consumer,Standard Class,Furniture,Table,3,0.22,7191.6,1879.72,0,2397.2000000000003
2024-08-22,North,Corporate,First Class,Electronics,Monitor,2,0.24,11960.74,2603.06,0,5980.37
2026-04-12,North,Consumer,First Class,Electronics,Laptop,6,0.17,30215.52,6344.43,0,5035.92
2026-01-29,West,Consumer,First Class,Furniture,Table,3,0.07,9330.93,1790.04,0,3110.31
2025-05-05,South,Consumer,Same Day,Furniture,Chair,7,0.08,18220.22,2432.73,0,2602.8885714285716
2024-06-01,South,Consumer,Second Class,Furniture,Chair,1,0.06,2143.65,637.38,0,2143.65
2026-03-10,South,Corporate,Same Day,Furniture,Table,3,0.08,10116.87,1559.29,0,3372.2900000000004
2025-12-16,South,Home Office,First Class,Office Supplies,Pen,8,0.2,3160.07,584.41,0,395.00875
2024-03-14,South,Home Office,Second Class,Electronics,Monitor,4,0.16,14127.8,2558.56,0,3531.95
2025-03-02,South,Home Office,First Class,Office Supplies,Notebook,1,0.22,261.03,60.1,0,261.03
2025-09-27,South,Home Office,First Class,Furniture,Table,7,0.07,14909.21,2556.62,0,2129.887142857143
2023-08-27,South,Corporate,Same Day,Furniture,Desk,6,0.03,21353.64,3483.94,0,3558.94
2024-06-23,West,Corporate,Second Class,Office Supplies,Storage Box,3,0.12,2449.55,440.99,0,816.5166666666668
2025-02-11,East,Consumer,Same Day,Electronics,Smartphone,3,0.01,15464.51,2146.24,0,5154.836666666667
2023-06-30,North,Consumer,First Class,Electronics,Tablet,3,0.02,16692.71,3200.07,0,5564.236666666667
2024-02-01,South,Corporate,Second Class,Office Supplies,Pen,7,0.04,4289.78,1185.58,0,612.8257142857143
2023-07-06,South,Corporate,Same Day,Electronics,Smartphone,1,0.07,6460.05,1084.91,0,6460.05
2023-12-20,East,Consumer,First Class,Office Supplies,Notebook,5,0.23,2546.46,344.1,0,509.29200000000003
2024-01-10,East,Corporate,First Class,Furniture,Sofa,8,0.16,22356.59,3353.62,0,2794.57375
2025-12-09,South,Home Office,First Class,Office Supplies,Pen,7,0.06,3751.91,524.29,0,535.9871428571429
2024-06-16,North,Corporate,First Class,Electronics,Laptop,8,0.16,48102.8,7275.78,0,6012.85
2023-11-18,South,Home Office,Same Day,Furniture,Sofa,3,0.06,9307.04,2337.18,0,3102.346666666667
2025-10-06,East,Home Office,Standard Class,Office Supplies,Storage Box,6,0.06,2770.45,333.5,0,461.7416666666666
2025-06-21,East,Home Office,Standard Class,Electronics,Tablet,4,0.21,10944.77,2259.21,0,2736.1925
2023-09-28,North,Corporate,Same Day,Office Supplies,Printer,3,0.07,2764.25,699.98,0,921.4166666666666
2024-07-06,South,Corporate,Same Day,Electronics,Laptop,5,0.23,25366.06,4133.4,0,5073.212
2025-09-20,South,Corporate,Second Class,Office Supplies,Storage Box,1,0.25,664.93,155.88,0,664.93
2025-05-07,North,Corporate,Same Day,Office Supplies,Storage Box,7,0.03,5648.85,704.79,0,806.9785714285715
2024-03-07,South,Home Office,Same Day,Office Supplies,Storage Box,5,0.15,2019.47,562.57,0,403.894
2025-01-15,North,Corporate,First Class,Electronics,Monitor,1,0.11,7148.8,1950.99,0,7148.8
2026-05-05,North,Consumer,Standard Class,Electronics,Tablet,3,0.08,14729.93,2135.59,0,4909.9766666666665
2025-04-21,North,Consumer,First Class,Electronics,Monitor,1,0.05,5618.35,1668.16,0,5618.35
2024-11-23,South,Home Office,Second Class,Office Supplies,Storage Box,2,0.23,1254.04,164.05,0,627.02
2023-12-21,East,Consumer,First Class,Electronics,Tablet,1,0.21,5441.94,1258.86,0,5441.94
2023-12-22,East,Consumer,Standard Class,Office Supplies,Storage Box,1,0.16,472.61,81.04,0,472.61
2023-09-20,East,Corporate,Standard Class,Furniture,Desk,8,0.06,22068.94,4588.15,0,2758.6175
2025-08-13,North,Home Office,First Class,Office Supplies,Storage Box,6,0.04,2927.66,722.65,0,487.9433333333333
2023-05-21,West,Corporate,Same Day,Office Supplies,Pen,7,0.05,6631.38,1695.2,0,947.34
2023-10-28,South,Consumer,First Class,Office Supplies,Printer,6,0.12,3591.54,802.57,0,598.59
2026-03-26,West,Corporate,Same Day,Office Supplies,Printer,1,0.12,893.23,222.93,0,893.23
2025-06-03,East,Home Office,Standard Class,Furniture,Desk,6,0.0,10671.31,1819.82,0,1778.5516666666665
2025-04-17,South,Corporate,Same Day,Office Supplies,Notebook,1,0.22,344.77,74.31,0,344.77
2026-03-29,West,Corporate,Standard Class,Office Supplies,Storage Box,7,0.05,5654.64,991.29,0,807.8057142857143
2025-05-04,West,Corporate,Standard Class,Furniture,Chair,3,0.02,11006.86,1496.37,0,3668.9533333333334
2024-08-20,South,Corporate,First Class,Furniture,Desk,5,0.23,13802.19,2964.04,0,2760.438
2025-08-31,East,Home Office,First Class,Electronics,Tablet,1,0.13,3615.28,1073.3,0,3615.28
2026-01-19,West,Corporate,Second Class,Electronics,Tablet,6,0.04,47101.59,7995.76,0,7850.264999999999
2024-10-22,North,Corporate,Same Day,Furniture,Sofa,6,0.19,26537.22,4726.12,0,4422.87
2025-04-03,East,Home Office,Second Class,Furniture,Sofa,6,0.02,11671.34,1758.82,0,1945.2233333333334
2025-04-02,West,Corporate,Standard Class,Office Supplies,Pen,2,0.16,998.46,264.57,0,499.23
2025-02-06,South,Home Office,First Class,Electronics,Monitor,7,0.08,28939.39,4317.16,0,4134.198571428571
2023-05-31,East,Home Office,Standard Class,Furniture,Table,3,0.02,5581.56,894.91,0,1860.5200000000002
2023-12-31,West,Consumer,Standard Class,Furniture,Chair,5,0.19,16082.34,2921.32,0,3216.468
2024-12-02,South,Corporate,First Class,Electronics,Tablet,8,0.22,56164.87,8977.83,0,7020.60875
2025-03-10,South,Home Office,Same Day,Furniture,Chair,7,0.18,13997.45,2520.49,0,1999.6357142857144
2023-11-26,East,Consumer,Same Day,Furniture,Chair,3,0.01,10096.04,1319.75,0,3365.346666666667
2024-11-19,South,Consumer,First Class,Electronics,Monitor,7,0.02,47179.53,10138.78,0,6739.932857142857
2024-12-06,West,Consumer,Second Class,Furniture,Desk,7,0.23,22611.67,6769.66,0,3230.238571428571
2025-12-20,North,Corporate,Standard Class,Electronics,Smartphone,2,0.12,16138.64,4273.52,0,8069.32
2026-04-13,South,Home Office,Second Class,Electronics,Smartphone,1,0.13,4185.12,783.73,0,4185.12
2025-11-29,South,Corporate,Same Day,Office Supplies,Pen,1,0.17,726.62,175.74,0,726.62
2025-11-07,South,Corporate,Standard Class,Electronics,Laptop,3,0.17,19989.16,2639.1,0,6663.053333333333
2025-11-23,West,Corporate,Same Day,Furniture,Table,8,0.11,43639.19,11939.51,0,5454.89875
2025-01-08,East,Corporate,First Class,Furniture,Table,5,0.08,15451.17,4317.25,0,3090.234
2024-02-28,East,Home Office,First Class,Office Supplies,Notebook,4,0.09,1526.13,386.16,0,381.5325
2026-01-27,West,Home Office,Second Class,Electronics,Smartphone,6,0.09,29121.83,4726.68,0,4853.638333333333
2024-09-04,South,Home Office,Second Class,Office Supplies,Printer,4,0.16,1407.65,391.58,0,351.9125
2025-10-11,East,Home Office,First Class,Office Supplies,Notebook,6,0.19,2808.02,351.36,0,468.00333333333333
2024-08-29,North,Corporate,Second Class,Furniture,Sofa,7,0.0,26543.64,5287.57,0,3791.9485714285715
2024-12-06,East,Corporate,Same Day,Furniture,Chair,7,0.04,30664.63,8827.06,0,4380.661428571429
2026-03-17,South,Home Office,First Class,Furniture,Sofa,3,0.11,6222.54,1730.95,0,2074.18
2024-05-22,North,Consumer,First Class,Furniture,Desk,1,0.11,3232.71,578.31,0,3232.71
2024-07-18,South,Home Office,Standard Class,Electronics,Tablet,3,0.06,10361.57,2730.99,0,3453.8566666666666
2024-06-12,West,Corporate,Standard Class,Office Supplies,Printer,3,0.09,2009.96,306.58,0,669.9866666666667
2024-07-24,East,Home Office,First Class,Office Supplies,Notebook,2,0.1,238.33,59.71,0,119.165
2025-07-09,East,Corporate,First Class,Electronics,Tablet,5,0.11,25451.54,6570.11,0,5090.308
2023-10-21,North,Corporate,Standard Class,Office Supplies,Notebook,6,0.04,5470.43,1516.1,0,911.7383333333333
2026-02-04,West,Home Office,First Class,Office Supplies,Storage Box,6,0.06,3193.12,895.05,0,532.1866666666666
2025-01-13,West,Home Office,First Class,Office Supplies,Storage Box,1,0.03,399.63,97.22,0,399.63
2026-01-06,West,Corporate,Second Class,Electronics,Smartphone,6,0.23,37910.86,9618.84,0,6318.4766666666665
2025-05-10,North,Home Office,First Class,Office Supplies,Notebook,2,0.12,903.41,254.81,0,451.705
2024-07-19,South,Corporate,Same Day,Office Supplies,Storage Box,1,0.17,891.86,124.02,0,891.86
2024-03-07,North,Home Office,Same Day,Office Supplies,Pen,3,0.2,1372.23,348.87,0,457.41
2025-09-08,West,Corporate,Second Class,Furniture,Sofa,8,0.09,29587.52,6999.45,0,3698.44
2025-12-07,South,Home Office,Same Day,Office Supplies,Printer,8,0.17,4479.25,942.36,0,559.90625
2024-01-16,West,Corporate,Standard Class,Furniture,Chair,6,0.09,21228.86,4336.15,0,3538.1433333333334
2024-11-17,West,Consumer,Same Day,Furniture,Table,7,0.14,28331.56,6369.16,0,4047.3657142857146
2024-06-15,West,Home Office,Second Class,Electronics,Smartphone,7,0.06,31569.09,7420.65,0,4509.87
2024-01-28,North,Home Office,Same Day,Furniture,Sofa,2,0.22,4180.85,555.7,0,2090.425
2023-09-02,South,Consumer,Second Class,Furniture,Table,5,0.23,9626.19,2768.48,0,1925.238
2023-06-18,West,Consumer,Second Class,Furniture,Table,2,0.24,4313.05,1015.39,0,2156.525
2024-07-17,East,Home Office,Same Day,Office Supplies,Storage Box,8,0.14,2986.08,640.83,0,373.26
2025-04-16,South,Consumer,Same Day,Office Supplies,Storage Box,4,0.01,2176.61,324.68,0,544.1525
2025-11-02,West,Home Office,Second Class,Furniture,Desk,3,0.19,7907.31,2107.04,0,2635.77
2026-02-17,South,Consumer,Standard Class,Furniture,Sofa,2,0.03,4477.67,764.26,0,2238.835
2026-01-15,North,Corporate,Same Day,Office Supplies,Notebook,4,0.24,2846.47,727.46,0,711.6175
2024-10-15,South,Corporate,Standard Class,Office Supplies,Storage Box,6,0.17,3908.48,628.17,0,651.4133333333333
2025-08-12,South,Consumer,Standard Class,Furniture,Desk,7,0.05,15719.83,3066.82,0,2245.69
2024-03-16,West,Corporate,First Class,Office Supplies,Pen,7,0.16,5432.68,934.85,0,776.0971428571429
2025-09-10,North,Consumer,First Class,Office Supplies,Pen,1,0.21,273.05,67.66,0,273.05
2023-11-25,West,Consumer,Standard Class,Office Supplies,Printer,4,0.19,2064.36,362.37,0,516.09
2024-02-28,East,Home Office,Same Day,Office Supplies,Storage Box,4,0.19,1438.97,256.82,0,359.7425
2023-10-12,West,Consumer,Standard Class,Electronics,Tablet,3,0.0,23254.75,3807.04,0,7751.583333333333
2024-04-10,East,Home Office,Same Day,Electronics,Monitor,3,0.17,11139.23,2463.92,0,3713.0766666666664
2024-12-23,North,Consumer,Second Class,Office Supplies,Notebook,2,0.12,1268.71,333.84,0,634.355
2026-01-18,West,Corporate,Same Day,Electronics,Monitor,4,0.1,33843.45,8447.58,0,8460.8625
2026-05-15,North,Home Office,Second Class,Furniture,Desk,3,0.1,6624.03,1807.23,0,2208.0099999999998
2023-12-14,North,Consumer,Second Class,Furniture,Sofa,8,0.15,25617.59,6380.9,0,3202.19875
2023-06-28,North,Consumer,Same Day,Office Supplies,Pen,6,0.05,3929.82,919.3,0,654.97
2025-10-13,South,Consumer,First Class,Office Supplies,Notebook,6,0.03,3922.25,957.3,0,653.7083333333334
2025-11-19,West,Consumer,First Class,Furniture,Table,1,0.2,3577.9,962.81,0,3577.9
2024-01-11,West,Home Office,Same Day,Electronics,Tablet,1,0.11,5294.04,699.19,0,5294.04
2025-03-28,South,Corporate,First Class,Furniture,Sofa,2,0.13,5763.01,857.51,0,2881.505
2023-07-11,South,Consumer,Standard Class,Office Supplies,Printer,6,0.03,2312.58,521.9,0,385.43
2025-08-14,North,Consumer,Same Day,Furniture,Sofa,2,0.1,5796.37,1062.87,0,2898.185
2023-07-03,South,Consumer,Same Day,Furniture,Desk,2,0.21,4160.54,990.18,0,2080.27
2023-08-14,South,Home Office,First Class,Office Supplies,Notebook,5,0.15,2626.57,455.37,0,525.3140000000001
2023-06-10,East,Corporate,Same Day,Office Supplies,Pen,7,0.22,3234.81,432.91,0,462.11571428571426
2025-08-05,East,Home Office,First Class,Office Supplies,Storage Box,1,0.19,222.02,64.87,0,222.02
2024-02-14,East,Home Office,First Class,Office Supplies,Notebook,7,0.19,2410.09,512.87,0,344.29857142857145
2026-04-06,South,Corporate,Standard Class,Electronics,Tablet,2,0.14,10739.74,1839.29,0,5369.87
2025-03-03,West,Corporate,Standard Class,Furniture,Chair,6,0.17,19501.07,3778.47,0,3250.1783333333333
2023-08-19,West,Consumer,Standard Class,Furniture,Chair,3,0.01,9295.23,2550.84,0,3098.41
2026-01-16,North,Consumer,Second Class,Office Supplies,Printer,1,0.19,100.0,22.4,0,100.0
2023-09-03,South,Corporate,Second Class,Furniture,Table,1,0.05,2363.7,472.47,0,2363.7
2023-07-26,West,Corporate,Same Day,Furniture,Desk,8,0.0,33547.24,7893.93,0,4193.405
2025-11-16,East,Corporate,First Class,Office Supplies,Notebook,8,0.2,5780.45,1566.61,0,722.55625
2024-08-14,West,Corporate,Standard Class,Office Supplies,Storage Box,6,0.07,3882.71,1038.1,0,647.1183333333333
2025-04-04,West,Corporate,Standard Class,Electronics,Laptop,6,0.07,42621.71,8380.59,0,7103.618333333333
2025-08-30,South,Home Office,Standard Class,Office Supplies,Storage Box,6,0.13,2278.93,479.65,0,379.82166666666666
2025-06-20,East,Consumer,Standard Class,Electronics,Smartphone,3,0.24,9307.1,2458.42,0,3102.366666666667
2023-10-25,East,Corporate,Same Day,Furniture,Desk,1,0.17,3460.23,766.23,0,3460.23
2025-10-28,North,Corporate,Same Day,Furniture,Chair,2,0.21,8516.0,1954.52,0,4258.0
2025-03-08,North,Consumer,Standard Class,Office Supplies,Notebook,1,0.24,127.08,36.41,0,127.08
2026-01-12,East,Corporate,Same Day,Office Supplies,Pen,4,0.16,2391.88,600.66,0,597.97
2025-10-12,North,Home Office,First Class,Furniture,Desk,2,0.05,6278.57,1402.56,0,3139.285
2023-07-15,West,Consumer,Second Class,Office Supplies,Storage Box,3,0.03,1798.19,526.2,0,599.3966666666666
2025-05-27,South,Corporate,Standard Class,Electronics,Tablet,2,0.02,11246.61,3177.6,0,5623.305
2024-10-31,East,Home Office,Standard Class,Electronics,Tablet,5,0.04,23610.94,5287.3,0,4722.188
2026-05-13,West,Home Office,Standard Class,Electronics,Tablet,4,0.19,16186.18,2348.84,0,4046.545
2024-12-15,West,Corporate,Same Day,Office Supplies,Storage Box,7,0.01,8355.52,1954.32,0,1193.6457142857143
2025-10-26,North,Consumer,First Class,Office Supplies,Pen,1,0.16,511.26,113.27,0,511.26
2026-05-12,West,Corporate,First Class,Furniture,Desk,4,0.01,17536.63,2419.8,0,4384.1575
2023-05-28,South,Home Office,Same Day,Electronics,Smartphone,1,0.05,4044.95,1033.0,0,4044.95
2024-01-17,West,Consumer,First Class,Electronics,Laptop,5,0.14,28909.65,6336.06,0,5781.93
2026-03-02,North,Corporate,Same Day,Electronics,Laptop,1,0.09,7975.3,2147.41,0,7975.3
2024-04-24,North,Home Office,Second Class,Furniture,Table,3,0.19,6521.13,1809.11,0,2173.71
2024-12-22,East,Corporate,First Class,Electronics,Monitor,1,0.09,7606.49,1767.48,0,7606.49
2025-05-25,South,Corporate,Standard Class,Electronics,Laptop,7,0.11,38567.59,8306.52,0,5509.655714285714
2026-04-25,East,Home Office,Same Day,Office Supplies,Printer,3,0.09,711.91,129.2,0,237.3033333333333
2024-02-23,West,Corporate,Same Day,Electronics,Smartphone,8,0.24,56191.21,13802.95,0,7023.90125
2025-10-22,East,Consumer,Same Day,Office Supplies,Pen,6,0.19,3665.15,674.31,0,610.8583333333333
2026-05-06,East,Consumer,Same Day,Furniture,Desk,1,0.18,2212.33,590.58,0,2212.33
2023-09-29,North,Corporate,Same Day,Electronics,Laptop,8,0.22,53892.75,14104.94,0,6736.59375
2026-02-15,East,Corporate,Same Day,Furniture,Chair,5,0.18,13978.98,2921.61,0,2795.796
2024-09-04,West,Home Office,Standard Class,Furniture,Chair,4,0.13,9029.97,1424.15,0,2257.4925
2024-04-15,East,Corporate,First Class,Office Supplies,Printer,1,0.04,1189.64,246.58,0,1189.64
2025-09-12,South,Home Office,First Class,Furniture,Chair,6,0.09,12470.97,3041.26,0,2078.495
2025-04-14,South,Corporate,First Class,Office Supplies,Printer,3,0.07,2012.54,357.8,0,670.8466666666667
2024-06-02,East,Home Office,Same Day,Electronics,Tablet,3,0.1,38597.94,2413.93,1,12865.980000000001
2025-01-29,South,Corporate,Standard Class,Electronics,Tablet,7,0.03,41456.99,8895.02,0,5922.427142857143
2025-11-03,West,Home Office,First Class,Electronics,Monitor,8,0.1,53870.99,14274.62,0,6733.87375
2023-08-10,North,Consumer,First Class,Electronics,Monitor,5,0.12,26920.74,6900.77,0,5384.148
2025-02-26,West,Home Office,Standard Class,Office Supplies,Printer,4,0.23,1722.14,453.57,0,430.535
2025-10-01,North,Home Office,Second Class,Office Supplies,Pen,4,0.03,7844.72,513.13,1,1961.18
2025-08-18,East,Consumer,First Class,Furniture,Desk,2,0.23,3526.96,652.12,0,1763.48
2025-07-24,South,Corporate,Second Class,Furniture,Chair,2,0.07,5857.42,706.69,0,2928.71
2025-02-12,South,Consumer,Second Class,Furniture,Table,3,0.13,6404.5,1265.51,0,2134.8333333333335
2025-12-18,North,Corporate,Same Day,Office Supplies,Pen,7,0.09,7541.08,1041.02,0,1077.297142857143
2025-04-18,South,Consumer,Second Class,Office Supplies,Storage Box,3,0.19,1188.49,312.43,0,396.16333333333336
2024-02-25,West,Home Office,First Class,Furniture,Desk,7,0.07,18039.99,4194.64,0,2577.1414285714286
2024-03-10,South,Consumer,Standard Class,Furniture,Chair,3,0.21,5896.37,1285.33,0,1965.4566666666667
2026-05-06,West,Corporate,Second Class,Office Supplies,Pen,7,0.05,5269.38,1008.52,0,752.7685714285715
2024-09-19,West,Consumer,Standard Class,Office Supplies,Pen,8,0.04,4817.61,919.89,0,602.20125
2024-05-07,South,Consumer,Same Day,Office Supplies,Notebook,5,0.15,2430.06,517.12,0,486.012
2025-07-17,East,Home Office,Standard Class,Office Supplies,Storage Box,2,0.11,149.83,44.91,0,74.915
2025-05-13,North,Consumer,Standard Class,Office Supplies,Printer,1,0.18,500.29,122.14,0,500.29
2025-04-30,West,Consumer,Second Class,Electronics,Monitor,5,0.09,29323.87,5198.17,0,5864.773999999999
2026-04-22,West,Home Office,Same Day,Electronics,Tablet,3,0.04,17773.5,3972.18,0,5924.5
2023-11-08,East,Home Office,Same Day,Electronics,Laptop,2,0.01,11797.4,2968.23,0,5898.7
2024-03-19,North,Consumer,Same Day,Office Supplies,Notebook,1,0.07,936.4,212.01,0,936.4
2026-01-04,East,Consumer,Standard Class,Furniture,Sofa,7,0.22,12348.2,1779.84,0,1764.0285714285715
2023-11-25,West,Corporate,Same Day,Electronics,Laptop,5,0.08,56035.66,11471.33,0,11207.132000000001
2026-04-20,West,Corporate,Standard Class,Electronics,Laptop,3,0.23,17690.51,2994.74,0,5896.836666666666
2025-01-14,East,Corporate,First Class,Office Supplies,Printer,1,0.12,646.73,170.77,0,646.73
2025-09-10,South,Home Office,First Class,Electronics,Monitor,1,0.04,4651.75,1111.86,0,4651.75
2025-04-14,West,Corporate,Same Day,Furniture,Chair,2,0.06,8547.58,1548.54,0,4273.79
2025-09-12,North,Corporate,Standard Class,Office Supplies,Printer,5,0.11,3609.1,927.05,0,721.8199999999999
2024-09-07,South,Home Office,Second Class,Office Supplies,Notebook,5,0.19,1689.44,378.8,0,337.88800000000003
2023-08-20,East,Home Office,Second Class,Electronics,Laptop,1,0.13,3227.81,886.73,0,3227.81
2025-04-13,West,Corporate,Standard Class,Electronics,Laptop,2,0.24,12155.29,1804.16,0,6077.645
2024-03-17,North,Corporate,Standard Class,Electronics,Tablet,8,0.18,46817.96,13934.59,0,5852.245
2025-12-17,South,Home Office,First Class,Office Supplies,Notebook,4,0.01,2555.78,683.16,0,638.945
2025-02-17,North,Home Office,Second Class,Electronics,Tablet,8,0.06,36826.27,7053.63,0,4603.28375
2025-01-22,East,Corporate,Standard Class,Electronics,Smartphone,4,0.12,20574.05,3924.24,0,5143.5125
2025-10-04,South,Home Office,First Class,Office Supplies,Pen,1,0.05,706.54,210.1,0,706.54
2025-11-02,North,Corporate,Same Day,Office Supplies,Pen,4,0.21,3611.93,817.53,0,902.9825
2025-05-04,East,Consumer,First Class,Furniture,Chair,8,0.17,16134.14,2907.77,0,2016.7675
2024-07-09,South,Consumer,Same Day,Furniture,Chair,8,0.04,19362.83,2530.41,0,2420.35375
2025-01-06,East,Corporate,Second Class,Furniture,Sofa,2,0.17,5377.1,1101.77,0,2688.55
2025-02-21,North,Consumer,First Class,Furniture,Chair,6,0.1,16592.36,4020.8,0,2765.3933333333334
2025-02-11,East,Home Office,Same Day,Furniture,Table,4,0.12,7921.28,2063.75,0,1980.32
2024-10-29,North,Corporate,Second Class,Furniture,Table,4,0.1,17159.98,4312.82,0,4289.995
2024-01-26,North,Consumer,Standard Class,Furniture,Sofa,2,0.14,4406.08,681.77,0,2203.04
2023-06-24,East,Consumer,First Class,Electronics,Smartphone,1,0.08,3566.58,800.9,0,3566.58
2025-06-15,North,Consumer,Same Day,Electronics,Monitor,6,0.12,31332.82,6248.02,0,5222.136666666666
2023-08-03,East,Home Office,Standard Class,Furniture,Table,4,0.17,6169.97,849.95,0,1542.4925
2024-01-15,West,Corporate,Second Class,Furniture,Chair,5,0.21,15885.27,3488.81,0,3177.054
2026-03-10,West,Corporate,Second Class,Electronics,Monitor,4,0.19,26515.16,4232.84,0,6628.79
2025-10-06,South,Home Office,First Class,Office Supplies,Pen,3,0.19,1537.69,428.78,0,512.5633333333334
2024-06-26,South,Consumer,Same Day,Office Supplies,Pen,4,0.07,2536.32,699.3,0,634.08
2024-06-11,East,Corporate,First Class,Furniture,Table,5,0.18,11634.87,1818.61,0,2326.974
2025-01-16,North,Corporate,Standard Class,Furniture,Table,7,0.11,22620.06,2990.68,0,3231.437142857143
2023-05-25,West,Corporate,Second Class,Furniture,Sofa,7,0.02,28383.63,8154.71,0,4054.804285714286
2024-05-03,North,Corporate,Same Day,Office Supplies,Pen,4,0.23,2408.91,463.15,0,602.2275
2024-05-25,North,Home Office,Standard Class,Office Supplies,Notebook,5,0.2,1930.97,477.02,0,386.194
2025-04-22,East,Consumer,Standard Class,Furniture,Table,8,0.21,14082.71,4001.51,0,1760.33875
2025-05-15,West,Consumer,Same Day,Office Supplies,Storage Box,2,0.1,1351.71,285.39,0,675.855
2026-03-19,East,Consumer,Standard Class,Furniture,Desk,1,0.07,2545.24,698.98,0,2545.24
2024-05-19,West,Consumer,Second Class,Office Supplies,Storage Box,7,0.08,4238.88,872.66,0,605.5542857142857
2024-12-13,North,Consumer,Same Day,Electronics,Smartphone,6,0.23,39792.18,5954.06,0,6632.03
2023-11-25,West,Consumer,First Class,Office Supplies,Notebook,2,0.18,1303.61,238.02,0,651.805
2025-12-02,South,Corporate,Second Class,Furniture,Sofa,1,0.18,3010.62,511.98,0,3010.62
2024-01-04,North,Home Office,First Class,Furniture,Desk,6,0.14,13446.34,3963.57,0,2241.056666666667
2024-08-25,East,Corporate,Standard Class,Electronics,Monitor,5,0.19,24054.48,2896.35,0,4810.896
2024-10-26,North,Corporate,First Class,Office Supplies,Pen,7,0.01,6756.26,1100.73,0,965.1800000000001
2025-06-18,West,Corporate,Standard Class,Electronics,Laptop,8,0.19,45173.07,10358.55,0,5646.63375
2026-03-07,South,Home Office,First Class,Furniture,Desk,5,0.04,10890.68,3118.08,0,2178.136
2023-07-09,South,Corporate,Standard Class,Furniture,Table,8,0.17,18155.5,4833.73,0,2269.4375
2024-09-06,West,Home Office,First Class,Furniture,Sofa,8,0.21,17812.16,4388.99,0,2226.52
2026-03-16,West,Consumer,Standard Class,Office Supplies,Printer,6,0.05,3292.92,743.06,0,548.82
2025-07-19,West,Home Office,Same Day,Furniture,Chair,8,0.03,20961.35,3737.12,0,2620.16875
2024-07-03,West,Corporate,Second Class,Electronics,Laptop,1,0.06,6636.5,1946.77,0,6636.5
2025-02-15,North,Corporate,Standard Class,Furniture,Chair,4,0.23,11222.03,2172.83,0,2805.5075
2024-04-24,East,Consumer,Same Day,Furniture,Table,1,0.11,2010.79,599.84,0,2010.79
2024-07-23,North,Corporate,Same Day,Office Supplies,Storage Box,4,0.19,2022.57,361.32,0,505.6425
2023-06-11,West,Consumer,Standard Class,Furniture,Desk,5,0.05,12635.99,2762.18,0,2527.198
2026-03-12,West,Corporate,Second Class,Office Supplies,Storage Box,3,0.21,2160.62,429.77,0,720.2066666666666
2024-09-03,South,Consumer,Same Day,Furniture,Sofa,4,0.14,9744.92,1728.19,0,2436.23
2023-08-13,West,Consumer,First Class,Furniture,Sofa,7,0.01,23145.43,3955.48,0,3306.4900000000002
2025-02-17,North,Home Office,Second Class,Office Supplies,Printer,7,0.16,2899.65,551.92,0,414.2357142857143
2023-06-11,North,Home Office,Second Class,Furniture,Sofa,7,0.23,11382.46,1852.61,0,1626.0657142857142
2026-04-14,South,Consumer,Second Class,Office Supplies,Storage Box,3,0.2,1345.41,324.19,0,448.47
2024-06-08,West,Corporate,Same Day,Office Supplies,Storage Box,7,0.24,13107.05,788.63,1,1872.435714285714
2026-05-12,East,Consumer,Standard Class,Office Supplies,Printer,7,0.24,2271.21,386.01,0,324.4585714285714
2024-07-20,West,Consumer,Same Day,Office Supplies,Printer,1,0.09,891.46,249.7,0,891.46
2025-08-30,East,Corporate,Second Class,Office Supplies,Notebook,3,0.03,1449.22,272.55,0,483.0733333333333
2025-06-30,East,Corporate,First Class,Office Supplies,Storage Box,6,0.03,3770.31,527.23,0,628.385
2024-10-07,East,Home Office,First Class,Furniture,Chair,8,0.0,22323.15,6552.37,0,2790.39375
2025-01-31,West,Home Office,Same Day,Furniture,Chair,5,0.07,14128.03,2017.59,0,2825.606
2023-12-10,South,Corporate,Same Day,Office Supplies,Storage Box,3,0.22,2248.16,369.53,0,749.3866666666667
2023-07-06,South,Corporate,First Class,Electronics,Monitor,2,0.09,11296.23,2336.76,0,5648.115
2024-04-21,East,Consumer,Second Class,Office Supplies,Storage Box,8,0.22,3314.48,547.17,0,414.31
2023-08-05,West,Consumer,First Class,Electronics,Smartphone,5,0.2,26557.0,4784.55,0,5311.4
2026-04-26,West,Corporate,Second Class,Office Supplies,Notebook,2,0.05,1327.34,223.51,0,663.67
